epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6126.91,0.92942,0.72379,1.17163,0.96348,0.97543,0.98741,0.74817,0.89939,0.46852,1.24217,0.0066175,0.0066175,0.0066175
43,6270.47,0.92645,0.7098,1.17602,0.94964,0.97108,0.98659,0.75449,0.89059,0.46285,1.23401,0.006535,0.006535,0.006535
44,6414.16,0.92573,0.71815,1.17418,0.96062,0.97011,0.98688,0.75335,0.90334,0.46337,1.24845,0.0064525,0.0064525,0.0064525
45,6557.73,0.91541,0.70033,1.16835,0.95308,0.96879,0.98572,0.74788,0.90594,0.46317,1.24571,0.00637,0.00637,0.00637
46,6701.71,0.91577,0.6982,1.1723,0.94598,0.98352,0.98918,0.75252,0.90737,0.45212,1.24496,0.0062875,0.0062875,0.0062875
47,6845.43,0.90904,0.69892,1.1682,0.95559,0.97741,0.98994,0.75238,0.89105,0.46265,1.23194,0.006205,0.006205,0.006205
48,6989.31,0.89838,0.69243,1.15758,0.9421,0.97599,0.98611,0.75676,0.87489,0.45603,1.22819,0.0061225,0.0061225,0.0061225
49,7132.92,0.88605,0.66888,1.15359,0.9592,0.96841,0.9879,0.7557,0.88367,0.45235,1.23478,0.00604,0.00604,0.00604
50,7275.99,0.89796,0.67889,1.15948,0.94888,0.9792,0.99144,0.75401,0.89015,0.44511,1.23452,0.0059575,0.0059575,0.0059575
51,7419.66,0.88984,0.66542,1.15451,0.9472,0.97391,0.98748,0.75869,0.87433,0.43987,1.21712,0.005875,0.005875,0.005875
52,7563.42,0.89093,0.66769,1.15088,0.96115,0.97479,0.98968,0.75801,0.88577,0.44239,1.22895,0.0057925,0.0057925,0.0057925
53,7707.32,0.87638,0.65329,1.14927,0.95493,0.98017,0.9879,0.75429,0.88444,0.43425,1.22871,0.00571,0.00571,0.00571
54,7851.03,0.88392,0.66085,1.1503,0.94114,0.96918,0.9864,0.75932,0.86734,0.43421,1.21988,0.0056275,0.0056275,0.0056275
55,7994.68,0.87173,0.643,1.14168,0.94533,0.97242,0.98189,0.76074,0.86358,0.4385,1.20902,0.005545,0.005545,0.005545
56,8138.02,0.8663,0.64543,1.14106,0.94488,0.98042,0.98744,0.76728,0.87386,0.42868,1.21865,0.0054625,0.0054625,0.0054625
57,8282.28,0.87162,0.6444,1.14487,0.94843,0.97261,0.98773,0.76561,0.86854,0.42946,1.20872,0.00538,0.00538,0.00538
58,8426.25,0.86236,0.63636,1.13549,0.96114,0.98396,0.99021,0.76435,0.87011,0.42366,1.21252,0.0052975,0.0052975,0.0052975
59,8570.15,0.8676,0.64348,1.14032,0.95414,0.97176,0.98691,0.7657,0.85994,0.41791,1.20731,0.005215,0.005215,0.005215
60,8713.65,0.86292,0.6297,1.13956,0.95355,0.98007,0.98867,0.76202,0.87479,0.42062,1.21873,0.0051325,0.0051325,0.0051325
61,8856.86,0.84991,0.61871,1.13231,0.95933,0.97372,0.98763,0.76718,0.86548,0.41313,1.21454,0.00505,0.00505,0.00505
62,9001.17,0.84995,0.61771,1.13132,0.95273,0.9784,0.98907,0.76977,0.86201,0.41581,1.21474,0.0049675,0.0049675,0.0049675
63,9145.27,0.85038,0.62073,1.12902,0.95908,0.9705,0.98719,0.76689,0.87244,0.41603,1.21015,0.004885,0.004885,0.004885
64,9289.11,0.84835,0.61804,1.12936,0.95795,0.97331,0.98588,0.76644,0.86733,0.41423,1.21633,0.0048025,0.0048025,0.0048025
65,9432.94,0.83877,0.61732,1.1267,0.965,0.97934,0.98769,0.76278,0.86758,0.41633,1.2212,0.00472,0.00472,0.00472
66,9576.32,0.84041,0.61387,1.12513,0.96608,0.97745,0.99045,0.77142,0.85915,0.41401,1.21336,0.0046375,0.0046375,0.0046375
67,9720.63,0.83224,0.60081,1.12236,0.94701,0.97874,0.98768,0.76816,0.85536,0.41328,1.20972,0.004555,0.004555,0.004555
68,9864.34,0.82619,0.59668,1.11231,0.95981,0.98017,0.99164,0.77115,0.8547,0.41535,1.20842,0.0044725,0.0044725,0.0044725
69,10007.8,0.82391,0.59065,1.11872,0.94743,0.98404,0.98546,0.77233,0.84779,0.40869,1.20952,0.00439,0.00439,0.00439
